game_id,patch,league,team1,team2,winner,team1_picks,team2_picks,team1_bans,team2_bans
LOLTMNT02_256476,15.09,LTA N,Blue,Red,Red,"['Naafiri', 'Viktor', 'Nautilus', 'Jhin', 'Wukong']","['Skarner', 'Alistar', 'Hwei', 'Camille', 'Sivir']","['Ezreal', 'Gwen', 'Sion', 'Lucian', 'Xayah']","['Vi', 'Varus', 'Jayce', 'Ziggs', 'Jax']"
LOLTMNT02_255511,15.09,LRN,Blue,Red,Red,"['Corki', 'Galio', 'Jarvan IV', 'Yasuo', 'Leona']","['Draven', 'Rumble', 'Zed', 'Nautilus', 'Taliyah']","['Gwen', 'Kalista', 'Akali', 'Renata Glasc', 'Rell']","['Diana', 'Viktor', 'Poppy', 'Braum', 'Alistar']"
LOLTMNT02_255523,15.09,LRN,Blue,Red,Red,"['Xin Zhao', ""Kai'Sa"", 'Nautilus', 'Orianna', 'Gnar']","['Ezreal', 'Taliyah', 'Poppy', 'Leona', 'Jax']","['Pantheon', 'Varus', 'Rumble', 'Alistar', 'Gwen']","['Vi', 'Sejuani', 'Jayce', 'Ryze', 'Viktor']"
LOLTMNT02_256484,15.09,LRN,Blue,Red,Blue,"['Sejuani', 'Yone', 'Kalista', 'Renata Glasc', 'Aurora']","['Rumble', 'Maokai', 'Tristana', 'Rell', 'Corki']","['Lillia', 'Ryze', 'Varus', 'Miss Fortune', 'Alistar']","['Gwen', 'Vi', 'Pantheon', 'Ambessa', 'Neeko']"
LOLTMNT02_255554,15.09,LCKC,Blue,Red,Red,"['Naafiri', 'Ambessa', 'Ahri', ""Kai'Sa"", 'Neeko']","['Rumble', 'Varus', 'Wukong', 'Yone', 'Elise']","['Poppy', 'Kalista', 'Xin Zhao', 'Ryze', 'Renata Glasc']","['Vi', 'Taliyah', 'Azir', 'Ashe', 'Ezreal']"
LOLTMNT02_256534,15.09,LCKC,Blue,Red,Blue,"['Azir', 'Skarner', 'Gnar', 'Lucian', 'Braum']","['Gwen', 'Sejuani', 'Corki', 'Ashe', 'Renata Glasc']","['Poppy', 'Lillia', 'Pantheon', 'Kalista', 'Rakan']","['Vi', 'Jayce', 'Xin Zhao', 'Miss Fortune', 'Lulu']"
LOLTMNT02_256551,15.09,LCKC,Blue,Red,Blue,"['Taliyah', 'Pantheon', 'Aatrox', 'Xayah', 'Rakan']","['Xin Zhao', 'Sion', 'Viktor', 'Alistar', 'Ezreal']","['Nocturne', 'Maokai', 'Jayce', 'Miss Fortune', 'Caitlyn']","['Vi', 'Lillia', 'Renekton', 'Nautilus', 'Kalista']"
LOLTMNT02_255590,15.09,LCKC,Blue,Red,Blue,"['Naafiri', 'Ambessa', 'Taliyah', 'Miss Fortune', 'Leona']","['Rumble', 'Varus', 'Xin Zhao', 'Viktor', 'Renata Glasc']","['Azir', 'Neeko', 'Poppy', 'Braum', 'Ahri']","['Vi', 'Jayce', 'Annie', 'Jhin', ""Kai'Sa""]"
LOLTMNT02_256584,15.09,PCS,Blue,Red,Blue,"['Azir', 'Jayce', 'Sejuani', 'Ezreal', 'Karma']","['Xin Zhao', 'Viktor', 'Sion', 'Ashe', 'Seraphine']","['Taliyah', 'Yone', 'Rumble', 'Neeko', 'Renata Glasc']","['Vi', 'Varus', 'Pantheon', 'Lucian', 'Miss Fortune']"
LOLTMNT02_255603,15.09,LCKC,Blue,Red,Red,"['Azir', 'Skarner', 'Renekton', 'Caitlyn', 'Braum']","['Sejuani', 'Sylas', 'Jax', 'Ashe', 'Rakan']","['Poppy', 'Jayce', 'Gwen', 'Alistar', 'Xayah']","['Vi', 'Neeko', 'Ezreal', 'Lucian', 'Jhin']"
12033-12033_game_1,15.09,LPL,Blue,Red,Red,"['Naafiri', 'Sion', 'Ahri', ""Kai'Sa"", 'Rell']","['Rumble', 'Taliyah', 'Pantheon', 'Varus', 'Nautilus']","['Azir', 'Skarner', 'Galio', 'Ezreal', 'Alistar']","['Vi', 'Neeko', 'Yone', 'Miss Fortune', 'Lucian']"
LOLTMNT02_255606,15.09,PCS,Blue,Red,Red,"['Vi', 'Aurora', 'Jhin', 'Alistar', 'Jax']","['Varus', 'Annie', 'Viego', 'Nautilus', 'Aatrox']","['Pantheon', 'Nocturne', 'Naafiri', 'Renata Glasc', 'Neeko']","['Rumble', 'Galio', 'Taliyah', 'Rell', 'Leona']"
12033-12033_game_2,15.09,LPL,Blue,Red,Red,"['Azir', 'Xin Zhao', 'Miss Fortune', 'Ambessa', 'Rakan']","['Ezreal', 'Viktor', 'Leona', 'Trundle', 'Ornn']","['Skarner', 'Ryze', 'Lucian', 'Graves', 'Renekton']","['Vi', 'Neeko', 'Gwen', 'Braum', 'Alistar']"
